IND_ID,IND_CODE,IND_UUID,IND_PER_CODE,DIM_TIME,DIM_TIME_TYPE,DIM_GEO_CODE_M49,DIM_GEO_CODE_TYPE,DIM_PUBLISH_STATE_CODE,IND_NAME,GEO_NAME_SHORT,DIM_SEX,RATE_PER_CAPITA_N,RATE_PER_CAPITA_NL,RATE_PER_CAPITA_NU
EE6F72ASA_0000001688,SA_0000001688,EE6F72A,SA_0000001688,2010,YEAR,747,REGION,PUBLISHED,Alcohol consumption (age 15+),Northern Africa and Western Asia,FEMALE,0.30992000000000,0.23869000000000,0.40705000000000
EE6F72ASA_0000001688,SA_0000001688,EE6F72A,SA_0000001688,2015,YEAR,018,REGION,PUBLISHED,Alcohol consumption (age 15+),Southern Africa,FEMALE,2.89522000000000,2.03566000000000,3.86866000000000
EE6F72ASA_0000001688,SA_0000001688,EE6F72A,SA_0000001688,2005,YEAR,804,COUNTRY,PUBLISHED,Alcohol consumption (age 15+),Ukraine,FEMALE,4.65692000000000,3.12571000000000,6.27313000000000
EE6F72ASA_0000001688,SA_0000001688,EE6F72A,SA_0000001688,2000,YEAR,795,COUNTRY,PUBLISHED,Alcohol consumption (age 15+),Turkmenistan,FEMALE,0.77217000000000,0.37127000000000,1.22002000000000
EE6F72ASA_0000001688,SA_0000001688,EE6F72A,SA_0000001688,2005,YEAR,268,COUNTRY,PUBLISHED,Alcohol consumption (age 15+),Georgia,FEMALE,5.15038000000000,3.39354000000000,7.03269000000000
EE6F72ASA_0000001688,SA_0000001688,EE6F72A,SA_0000001688,2000,YEAR,340,COUNTRY,PUBLISHED,Alcohol consumption (age 15+),Honduras,FEMALE,1.21053000000000,0.57112000000000,1.89556000000000
EE6F72ASA_0000001688,SA_0000001688,EE6F72A,SA_0000001688,2000,YEAR,199,CLASSIFICATION,PUBLISHED,Alcohol consumption (age 15+),Least developed countries,FEMALE,1.07015000000000,0.93246000000000,1.22829000000000
EE6F72ASA_0000001688,SA_0000001688,EE6F72A,SA_0000001688,2010,YEAR,694,COUNTRY,PUBLISHED,Alcohol consumption (age 15+),Sierra Leone,FEMALE,0.07821000000000,0.00000000000000,0.22660000000000
EE6F72ASA_0000001688,SA_0000001688,EE6F72A,SA_0000001688,2005,YEAR,124,COUNTRY,PUBLISHED,Alcohol consumption (age 15+),Canada,FEMALE,4.28457000000000,2.94928000000000,5.74820000000000
EE6F72ASA_0000001688,SA_0000001688,EE6F72A,SA_0000001688,2015,YEAR,233,COUNTRY,PUBLISHED,Alcohol consumption (age 15+),Estonia,FEMALE,6.88918000000000,4.92010000000000,8.95615000000000
