measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,cause_id,cause_name,metric_id,metric_name,year,val,upper,lower
2,DALYs (Disability-Adjusted Life Years),152,Saudi Arabia,1,Male,41,50-74 years,410,Neoplasms,1,Number,2000,57592.469395935645,67274.45564008006,50595.659117478644
2,DALYs (Disability-Adjusted Life Years),152,Saudi Arabia,2,Female,41,50-74 years,410,Neoplasms,1,Number,2000,36243.446323385135,42202.08364884717,31442.64278026235
2,DALYs (Disability-Adjusted Life Years),152,Saudi Arabia,1,Male,41,50-74 years,410,Neoplasms,2,Percent,2000,0.0732207096215431,0.08269626734667024,0.0657172494099052
2,DALYs (Disability-Adjusted Life Years),152,Saudi Arabia,2,Female,41,50-74 years,410,Neoplasms,2,Percent,2000,0.06995388360886695,0.07838250900665122,0.062358661877783675
2,DALYs (Disability-Adjusted Life Years),152,Saudi Arabia,1,Male,41,50-74 years,410,Neoplasms,3,Rate,2000,5270.527361720418,6156.566351727063,4630.220036749613
2,DALYs (Disability-Adjusted Life Years),152,Saudi Arabia,2,Female,41,50-74 years,410,Neoplasms,3,Rate,2000,4894.843619676415,5699.584913709611,4246.473087175145
2,DALYs (Disability-Adjusted Life Years),152,Saudi Arabia,1,Male,234,75+ years,410,Neoplasms,1,Number,2000,8870.675969602102,9940.880920485546,7861.316488475798
2,DALYs (Disability-Adjusted Life Years),152,Saudi Arabia,2,Female,234,75+ years,410,Neoplasms,1,Number,2000,4471.354684563615,5070.113684777955,3932.700835433879
2,DALYs (Disability-Adjusted Life Years),152,Saudi Arabia,1,Male,234,75+ years,410,Neoplasms,2,Percent,2000,0.05742948428113404,0.06474521613252122,0.05063217576654185
2,DALYs (Disability-Adjusted Life Years),152,Saudi Arabia,2,Female,234,75+ years,410,Neoplasms,2,Percent,2000,0.03657148810610592,0.04110864639367384,0.032577699306323225
2,DALYs (Disability-Adjusted Life Years),152,Saudi Arabia,1,Male,234,75+ years,410,Neoplasms,3,Rate,2000,10511.964684535405,11780.183328464316,9315.84938780264
2,DALYs (Disability-Adjusted Life Years),152,Saudi Arabia,2,Female,234,75+ years,410,Neoplasms,3,Rate,2000,6278.718699753677,7119.501772559381,5522.335850747982
2,DALYs (Disability-Adjusted Life Years),146,Lebanon,1,Male,41,50-74 years,410,Neoplasms,1,Number,2002,32332.96318123322,38651.23120025812,27151.418603238133
2,DALYs (Disability-Adjusted Life Years),146,Lebanon,2,Female,41,50-74 years,410,Neoplasms,1,Number,2002,26308.19567254369,31061.553319377468,22257.15349628628
2,DALYs (Disability-Adjusted Life Years),146,Lebanon,1,Male,41,50-74 years,410,Neoplasms,2,Percent,2002,0.19157107736251147,0.21800762159994985,0.16940630295252926
2,DALYs (Disability-Adjusted Life Years),146,Lebanon,2,Female,41,50-74 years,410,Neoplasms,2,Percent,2002,0.17464562130144812,0.20213823530658726,0.14976455359055507
2,DALYs (Disability-Adjusted Life Years),146,Lebanon,1,Male,41,50-74 years,410,Neoplasms,3,Rate,2002,10476.345066972784,12523.554771258183,8797.45010536017
2,DALYs (Disability-Adjusted Life Years),146,Lebanon,2,Female,41,50-74 years,410,Neoplasms,3,Rate,2002,8229.910947857556,9716.88902205467,6962.636035826696
2,DALYs (Disability-Adjusted Life Years),146,Lebanon,1,Male,234,75+ years,410,Neoplasms,1,Number,2002,10639.227819135152,12728.123874742778,8588.991692758163
2,DALYs (Disability-Adjusted Life Years),146,Lebanon,2,Female,234,75+ years,410,Neoplasms,1,Number,2002,6615.1543928871315,7742.654813421441,5597.715801135371
2,DALYs (Disability-Adjusted Life Years),146,Lebanon,1,Male,234,75+ years,410,Neoplasms,2,Percent,2002,0.16048156173885222,0.18213036455544346,0.13668758165460027
2,DALYs (Disability-Adjusted Life Years),146,Lebanon,2,Female,234,75+ years,410,Neoplasms,2,Percent,2002,0.10096693548742253,0.11628904456691425,0.08676033236038042
2,DALYs (Disability-Adjusted Life Years),146,Lebanon,1,Male,234,75+ years,410,Neoplasms,3,Rate,2002,22193.132765898445,26550.51173027056,17916.397336632657
2,DALYs (Disability-Adjusted Life Years),146,Lebanon,2,Female,234,75+ years,410,Neoplasms,3,Rate,2002,13132.793089010966,15371.173155630622,11112.914230156566
2,DALYs (Disability-Adjusted Life Years),146,Lebanon,1,Male,41,50-74 years,410,Neoplasms,1,Number,2001,30111.98342406217,36239.13047184886,25104.89283641585
2,DALYs (Disability-Adjusted Life Years),146,Lebanon,2,Female,41,50-74 years,410,Neoplasms,1,Number,2001,24787.165812342548,29261.642181325304,20790.321363307172
2,DALYs (Disability-Adjusted Life Years),146,Lebanon,1,Male,41,50-74 years,410,Neoplasms,2,Percent,2001,0.1793324615455196,0.2028088034761021,0.15806189542471127
2,DALYs (Disability-Adjusted Life Years),146,Lebanon,2,Female,41,50-74 years,410,Neoplasms,2,Percent,2001,0.16618754016966128,0.19204975754893333,0.1426948500888142
2,DALYs (Disability-Adjusted Life Years),146,Lebanon,1,Male,41,50-74 years,410,Neoplasms,3,Rate,2001,9992.121112409926,12025.304862308867,8330.607990939812
2,DALYs (Disability-Adjusted Life Years),146,Lebanon,2,Female,41,50-74 years,410,Neoplasms,3,Rate,2001,8020.6766680236715,9468.535954802357,6727.370395705308
2,DALYs (Disability-Adjusted Life Years),146,Lebanon,1,Male,234,75+ years,410,Neoplasms,1,Number,2001,9213.517687085701,10916.323197128637,7467.101837891264
2,DALYs (Disability-Adjusted Life Years),146,Lebanon,2,Female,234,75+ years,410,Neoplasms,1,Number,2001,5994.442740875912,6907.266760748757,5101.750701572181
2,DALYs (Disability-Adjusted Life Years),146,Lebanon,1,Male,234,75+ years,410,Neoplasms,2,Percent,2001,0.1491704999043431,0.16788663096281942,0.12746240712957282
2,DALYs (Disability-Adjusted Life Years),146,Lebanon,2,Female,234,75+ years,410,Neoplasms,2,Percent,2001,0.09509540052992671,0.10806588896605451,0.08214943645763043
2,DALYs (Disability-Adjusted Life Years),146,Lebanon,1,Male,234,75+ years,410,Neoplasms,3,Rate,2001,20984.21732744765,24862.43649440065,17006.67357399479
2,DALYs (Disability-Adjusted Life Years),146,Lebanon,2,Female,234,75+ years,410,Neoplasms,3,Rate,2001,12635.331022638464,14559.418741061409,10753.678314378769
2,DALYs (Disability-Adjusted Life Years),146,Lebanon,1,Male,41,50-74 years,410,Neoplasms,1,Number,2000,28624.42732936479,34833.48685061578,23764.292882342088
2,DALYs (Disability-Adjusted Life Years),146,Lebanon,2,Female,41,50-74 years,410,Neoplasms,1,Number,2000,23648.248172412485,27471.601398092607,19927.763766695127
2,DALYs (Disability-Adjusted Life Years),146,Lebanon,1,Male,41,50-74 years,410,Neoplasms,2,Percent,2000,0.1717502364629122,0.19449612391494214,0.1508612411311493
2,DALYs (Disability-Adjusted Life Years),146,Lebanon,2,Female,41,50-74 years,410,Neoplasms,2,Percent,2000,0.16048456356405638,0.185465190155511,0.13854596593966756
2,DALYs (Disability-Adjusted Life Years),146,Lebanon,1,Male,41,50-74 years,410,Neoplasms,3,Rate,2000,9768.49546397587,11887.425882076297,8109.905031623356
2,DALYs (Disability-Adjusted Life Years),146,Lebanon,2,Female,41,50-74 years,410,Neoplasms,3,Rate,2000,7918.360657882327,9198.569218900844,6672.596610934251
2,DALYs (Disability-Adjusted Life Years),146,Lebanon,1,Male,234,75+ years,410,Neoplasms,1,Number,2000,8172.547550480876,9747.280768191486,6696.338432450095
2,DALYs (Disability-Adjusted Life Years),146,Lebanon,2,Female,234,75+ years,410,Neoplasms,1,Number,2000,5516.010997897192,6347.54812253793,4702.70841966607
2,DALYs (Disability-Adjusted Life Years),146,Lebanon,1,Male,234,75+ years,410,Neoplasms,2,Percent,2000,0.14191383417798986,0.1588408061453977,0.12185873072586462
2,DALYs (Disability-Adjusted Life Years),146,Lebanon,2,Female,234,75+ years,410,Neoplasms,2,Percent,2000,0.091096638145638,0.10317618772511629,0.0792905113242564
2,DALYs (Disability-Adjusted Life Years),146,Lebanon,1,Male,234,75+ years,410,Neoplasms,3,Rate,2000,20295.851972909648,24206.572844958606,16629.807626817183
2,DALYs (Disability-Adjusted Life Years),146,Lebanon,2,Female,234,75+ years,410,Neoplasms,3,Rate,2000,12322.603650377414,14180.232725342748,10505.710006910656
2,DALYs (Disability-Adjusted Life Years),152,Saudi Arabia,1,Male,41,50-74 years,410,Neoplasms,1,Number,2001,57946.45580885654,66822.99500388544,51205.78873575873
2,DALYs (Disability-Adjusted Life Years),152,Saudi Arabia,2,Female,41,50-74 years,410,Neoplasms,1,Number,2001,38020.39779492045,43429.110184881996,33287.20001673556
2,DALYs (Disability-Adjusted Life Years),152,Saudi Arabia,1,Male,41,50-74 years,410,Neoplasms,2,Percent,2001,0.07266481697411048,0.08206834333711699,0.0655855707789882
2,DALYs (Disability-Adjusted Life Years),152,Saudi Arabia,2,Female,41,50-74 years,410,Neoplasms,2,Percent,2001,0.071645366192452,0.080056158292799,0.06403038117680662
2,DALYs (Disability-Adjusted Life Years),152,Saudi Arabia,1,Male,41,50-74 years,410,Neoplasms,3,Rate,2001,5236.532727561655,6038.692020195193,4627.388937123331
2,DALYs (Disability-Adjusted Life Years),152,Saudi Arabia,2,Female,41,50-74 years,410,Neoplasms,3,Rate,2001,4981.893578632744,5690.608665454392,4361.692607966189
2,DALYs (Disability-Adjusted Life Years),152,Saudi Arabia,1,Male,234,75+ years,410,Neoplasms,1,Number,2001,9174.114793759509,10287.255162516714,8084.362794748918
2,DALYs (Disability-Adjusted Life Years),152,Saudi Arabia,2,Female,234,75+ years,410,Neoplasms,1,Number,2001,4747.845854257555,5380.956566998485,4183.998559752033
2,DALYs (Disability-Adjusted Life Years),152,Saudi Arabia,1,Male,234,75+ years,410,Neoplasms,2,Percent,2001,0.05832463414964693,0.06552411174453736,0.051399597533507736
2,DALYs (Disability-Adjusted Life Years),152,Saudi Arabia,2,Female,234,75+ years,410,Neoplasms,2,Percent,2001,0.03791802615967035,0.04244873651159119,0.0336576239180236
2,DALYs (Disability-Adjusted Life Years),152,Saudi Arabia,1,Male,234,75+ years,410,Neoplasms,3,Rate,2001,10522.437531020107,11799.176514215722,9272.524314140226
2,DALYs (Disability-Adjusted Life Years),152,Saudi Arabia,2,Female,234,75+ years,410,Neoplasms,3,Rate,2001,6360.696475035495,7208.875881539878,5605.3093776630185
2,DALYs (Disability-Adjusted Life Years),152,Saudi Arabia,1,Male,41,50-74 years,410,Neoplasms,1,Number,2002,58709.03459845947,67230.71692710128,52103.605833056805
2,DALYs (Disability-Adjusted Life Years),152,Saudi Arabia,2,Female,41,50-74 years,410,Neoplasms,1,Number,2002,39711.95774708015,45127.38593094592,35435.361815781034
2,DALYs (Disability-Adjusted Life Years),152,Saudi Arabia,1,Male,41,50-74 years,410,Neoplasms,2,Percent,2002,0.0720544608220985,0.08098880066463161,0.06488231822635229
2,DALYs (Disability-Adjusted Life Years),152,Saudi Arabia,2,Female,41,50-74 years,410,Neoplasms,2,Percent,2002,0.07338854097463791,0.08167657361541483,0.06562765051500968
2,DALYs (Disability-Adjusted Life Years),152,Saudi Arabia,1,Male,41,50-74 years,410,Neoplasms,3,Rate,2002,5179.017718030935,5930.757958171506,4596.319793508952
2,DALYs (Disability-Adjusted Life Years),152,Saudi Arabia,2,Female,41,50-74 years,410,Neoplasms,3,Rate,2002,5049.581318501875,5738.181088956339,4505.789973360821
2,DALYs (Disability-Adjusted Life Years),152,Saudi Arabia,1,Male,234,75+ years,410,Neoplasms,1,Number,2002,9504.304077135796,10793.590070558274,8296.873841737315
2,DALYs (Disability-Adjusted Life Years),152,Saudi Arabia,2,Female,234,75+ years,410,Neoplasms,1,Number,2002,5076.320146858025,5759.925503224849,4450.7755621338165
2,DALYs (Disability-Adjusted Life Years),152,Saudi Arabia,1,Male,234,75+ years,410,Neoplasms,2,Percent,2002,0.05903846156432351,0.06706239153715882,0.051854886971164936
2,DALYs (Disability-Adjusted Life Years),152,Saudi Arabia,2,Female,234,75+ years,410,Neoplasms,2,Percent,2002,0.03928223003869996,0.044076975109910224,0.034914601562319125
2,DALYs (Disability-Adjusted Life Years),152,Saudi Arabia,1,Male,234,75+ years,410,Neoplasms,3,Rate,2002,10504.644993232641,11929.630089009572,9170.131085216068
2,DALYs (Disability-Adjusted Life Years),152,Saudi Arabia,2,Female,234,75+ years,410,Neoplasms,3,Rate,2002,6430.792755881625,7296.7988875726305,5638.339272344876
2,DALYs (Disability-Adjusted Life Years),152,Saudi Arabia,1,Male,41,50-74 years,410,Neoplasms,1,Number,2005,65646.77445737891,74281.36936987366,58436.79182096252
2,DALYs (Disability-Adjusted Life Years),152,Saudi Arabia,2,Female,41,50-74 years,410,Neoplasms,1,Number,2005,43440.417990085654,48378.337197153305,38470.326369698494
2,DALYs (Disability-Adjusted Life Years),152,Saudi Arabia,1,Male,41,50-74 years,410,Neoplasms,2,Percent,2005,0.07113926666346834,0.07920406934787433,0.06470406229901468
2,DALYs (Disability-Adjusted Life Years),152,Saudi Arabia,2,Female,41,50-74 years,410,Neoplasms,2,Percent,2005,0.0770350534616091,0.08525201989334141,0.0692543523334581
2,DALYs (Disability-Adjusted Life Years),152,Saudi Arabia,1,Male,41,50-74 years,410,Neoplasms,3,Rate,2005,5143.47460227241,5820.001667012837,4578.566990592118
2,DALYs (Disability-Adjusted Life Years),152,Saudi Arabia,2,Female,41,50-74 years,410,Neoplasms,3,Rate,2005,5064.96913328333,5640.709642321537,4485.477456831309
2,DALYs (Disability-Adjusted Life Years),152,Saudi Arabia,1,Male,234,75+ years,410,Neoplasms,1,Number,2005,10537.01078476859,11799.424518924498,9379.568417456045
2,DALYs (Disability-Adjusted Life Years),152,Saudi Arabia,2,Female,234,75+ years,410,Neoplasms,1,Number,2005,6058.3110937047795,6803.210471735253,5309.44286269391
2,DALYs (Disability-Adjusted Life Years),152,Saudi Arabia,1,Male,234,75+ years,410,Neoplasms,2,Percent,2005,0.06063558735350255,0.06784326570788768,0.054008304053394934
2,DALYs (Disability-Adjusted Life Years),152,Saudi Arabia,2,Female,234,75+ years,410,Neoplasms,2,Percent,2005,0.042291767252970826,0.04757274099324402,0.03762237966504352
2,DALYs (Disability-Adjusted Life Years),152,Saudi Arabia,1,Male,234,75+ years,410,Neoplasms,3,Rate,2005,10605.152832725647,11875.730500559885,9440.225373586605
2,DALYs (Disability-Adjusted Life Years),152,Saudi Arabia,2,Female,234,75+ years,410,Neoplasms,3,Rate,2005,6594.706190900444,7405.558004865547,5779.534126800311
2,DALYs (Disability-Adjusted Life Years),152,Saudi Arabia,1,Male,41,50-74 years,410,Neoplasms,1,Number,2006,68387.81127392096,76379.94785715305,61560.6608598599
2,DALYs (Disability-Adjusted Life Years),152,Saudi Arabia,2,Female,41,50-74 years,410,Neoplasms,1,Number,2006,45136.67207882636,50217.03597787386,40381.23324705064
2,DALYs (Disability-Adjusted Life Years),152,Saudi Arabia,1,Male,41,50-74 years,410,Neoplasms,2,Percent,2006,0.07099214010128757,0.07878170180003032,0.06485604728061983
2,DALYs (Disability-Adjusted Life Years),152,Saudi Arabia,2,Female,41,50-74 years,410,Neoplasms,2,Percent,2006,0.07820651402412389,0.08590510074477217,0.0700833822161429
2,DALYs (Disability-Adjusted Life Years),152,Saudi Arabia,1,Male,41,50-74 years,410,Neoplasms,3,Rate,2006,5144.106783982343,5745.272448601225,4630.570963694552
