,measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,cause_id,cause_name,metric_id,metric_name,year,val,upper,lower
0,1,Deaths,146,Lebanon,3,Both,22,All ages,526,Digestive diseases,3,Rate,2000,20.37638712231701,24.54625670130957,15.929172681446826
1,1,Deaths,154,Tunisia,3,Both,22,All ages,974,Diabetes and kidney diseases,3,Rate,2001,23.97155998280579,30.680494124252103,18.60807418959458
2,1,Deaths,149,Palestine,3,Both,22,All ages,491,Cardiovascular diseases,3,Rate,2003,152.25493869421732,163.27595062107795,140.03296670848667
3,1,Deaths,145,Kuwait,3,Both,22,All ages,956,Respiratory infections and tuberculosis,3,Rate,2000,11.343220698389954,11.95527962873564,10.60713086513394
4,1,Deaths,147,Libya,3,Both,22,All ages,526,Digestive diseases,3,Rate,2000,13.454432023056658,17.982579354934394,10.64144266748481
5,1,Deaths,146,Lebanon,3,Both,22,All ages,491,Cardiovascular diseases,3,Rate,2000,218.0894495556941,247.73125933225197,187.9447825876437
6,1,Deaths,149,Palestine,3,Both,22,All ages,974,Diabetes and kidney diseases,3,Rate,2003,33.10229779163332,36.575952133593645,30.06457204206406
7,1,Deaths,155,Turkey,3,Both,22,All ages,491,Cardiovascular diseases,3,Rate,2001,182.79832844405752,202.8926196356726,163.25456008779955
8,1,Deaths,145,Kuwait,3,Both,22,All ages,974,Diabetes and kidney diseases,3,Rate,2000,23.67547053639248,24.897610460583493,22.05491196669583
9,1,Deaths,155,Turkey,3,Both,22,All ages,526,Digestive diseases,3,Rate,2001,14.616220815002634,17.86267589701442,12.303263381106946
10,1,Deaths,150,Oman,3,Both,22,All ages,491,Cardiovascular diseases,3,Rate,2003,134.86998409163618,159.697440586126,112.3077132526354
11,1,Deaths,148,Morocco,3,Both,22,All ages,491,Cardiovascular diseases,3,Rate,2000,269.4313810786604,304.7903577383134,230.62867806658943
12,1,Deaths,150,Oman,3,Both,22,All ages,410,Neoplasms,3,Rate,2003,21.667626147258957,25.896394154890917,18.005181184385204
13,1,Deaths,139,Algeria,3,Both,22,All ages,410,Neoplasms,3,Rate,2001,28.567305660381308,32.40831038190488,25.01107354298548
14,1,Deaths,155,Turkey,3,Both,22,All ages,410,Neoplasms,3,Rate,2001,97.3463493046898,110.873804961662,85.76532348316756
15,1,Deaths,146,Lebanon,3,Both,22,All ages,974,Diabetes and kidney diseases,3,Rate,2000,44.54482976279865,52.12581280777268,37.22466802392376
16,1,Deaths,139,Algeria,3,Both,22,All ages,491,Cardiovascular diseases,3,Rate,2001,191.3106471762934,214.32865408105872,168.07250656898563
17,1,Deaths,150,Oman,3,Both,22,All ages,526,Digestive diseases,3,Rate,2003,9.244527177011848,11.013926522506788,7.577291149770318
18,1,Deaths,146,Lebanon,3,Both,22,All ages,410,Neoplasms,3,Rate,2000,93.11301948140355,107.9962087483635,79.4719031047992
19,1,Deaths,156,United Arab Emirates,3,Both,22,All ages,526,Digestive diseases,3,Rate,2001,7.070712387607133,8.617142197066732,5.781798836670264
20,1,Deaths,139,Algeria,3,Both,22,All ages,974,Diabetes and kidney diseases,3,Rate,2001,16.396561729600435,23.29118532321175,13.22755116340354
21,1,Deaths,148,Morocco,3,Both,22,All ages,974,Diabetes and kidney diseases,3,Rate,2000,21.85641954092904,31.84401751166478,17.176254960700426
22,1,Deaths,155,Turkey,3,Both,22,All ages,974,Diabetes and kidney diseases,3,Rate,2001,31.954867732732676,38.66728213007565,27.05010123167872
23,1,Deaths,140,Bahrain,3,Both,22,All ages,410,Neoplasms,3,Rate,2001,52.720203305196776,56.7276881861241,48.7892818363987
24,1,Deaths,149,Palestine,3,Both,22,All ages,410,Neoplasms,3,Rate,2000,46.9413448169829,52.17930079254936,42.03824566764016
25,1,Deaths,147,Libya,3,Both,22,All ages,410,Neoplasms,3,Rate,2000,61.4604581591731,68.30847198391199,55.164119755366144
26,1,Deaths,139,Algeria,3,Both,22,All ages,956,Respiratory infections and tuberculosis,3,Rate,2001,21.221665537369137,25.98277738668992,17.70053834274567
27,1,Deaths,151,Qatar,3,Both,22,All ages,491,Cardiovascular diseases,3,Rate,2003,97.03140579074896,111.18630456564996,83.15562142241076
28,1,Deaths,157,Yemen,3,Both,22,All ages,491,Cardiovascular diseases,3,Rate,2001,176.96101663523282,219.59807230610852,140.93271110998484
29,1,Deaths,139,Algeria,3,Both,22,All ages,526,Digestive diseases,3,Rate,2001,11.962524509187144,14.77249543905972,10.014187120124491
30,1,Deaths,150,Oman,3,Both,22,All ages,956,Respiratory infections and tuberculosis,3,Rate,2003,14.610155023473506,19.13568686421456,11.806094417039368
31,1,Deaths,150,Oman,3,Both,22,All ages,974,Diabetes and kidney diseases,3,Rate,2003,24.147038141626457,29.210734132987337,19.77440455724965
32,1,Deaths,156,United Arab Emirates,3,Both,22,All ages,410,Neoplasms,3,Rate,2001,37.36601058581776,44.48191159921772,31.30769173605854
33,1,Deaths,140,Bahrain,3,Both,22,All ages,491,Cardiovascular diseases,3,Rate,2001,139.86179915596858,148.3143527582263,131.41973097690862
34,1,Deaths,156,United Arab Emirates,3,Both,22,All ages,491,Cardiovascular diseases,3,Rate,2001,74.51806395089486,87.70292755608355,63.01394807337444
35,1,Deaths,522,Sudan,3,Both,22,All ages,410,Neoplasms,3,Rate,2001,36.85685914688322,46.77187374137018,28.333933964347125
36,1,Deaths,140,Bahrain,3,Both,22,All ages,956,Respiratory infections and tuberculosis,3,Rate,2001,10.88866402658597,12.15060139339372,9.987277895518348
37,1,Deaths,140,Bahrain,3,Both,22,All ages,526,Digestive diseases,3,Rate,2001,19.55689624812258,21.07484868008892,18.200767775274382
38,1,Deaths,140,Bahrain,3,Both,22,All ages,491,Cardiovascular diseases,3,Rate,2000,142.47404391074338,151.9063244093758,134.11796892433358
39,1,Deaths,151,Qatar,3,Both,22,All ages,526,Digestive diseases,3,Rate,2003,14.549023166877262,17.410215020640738,11.854093805786771
40,1,Deaths,155,Turkey,3,Both,22,All ages,956,Respiratory infections and tuberculosis,3,Rate,2001,22.193297912896075,25.96318715463144,19.078104112589365
41,1,Deaths,151,Qatar,3,Both,22,All ages,956,Respiratory infections and tuberculosis,3,Rate,2003,9.725208210762656,11.382209686254612,8.238716567129483
42,1,Deaths,151,Qatar,3,Both,22,All ages,974,Diabetes and kidney diseases,3,Rate,2003,30.898444124842356,36.58832711324462,25.9966477211339
43,1,Deaths,149,Palestine,3,Both,22,All ages,956,Respiratory infections and tuberculosis,3,Rate,2000,19.992181332440342,22.89990127013992,17.33514350197672
44,1,Deaths,146,Lebanon,3,Both,22,All ages,956,Respiratory infections and tuberculosis,3,Rate,2000,24.49210348795952,29.978920295802176,20.75392713447411
45,1,Deaths,152,Saudi Arabia,3,Both,22,All ages,410,Neoplasms,3,Rate,2003,29.13349133004724,32.67274765360423,26.3661139479121
46,1,Deaths,150,Oman,3,Both,22,All ages,410,Neoplasms,3,Rate,2000,21.47275499262047,25.6929793569604,17.476371005233965
47,1,Deaths,147,Libya,3,Both,22,All ages,491,Cardiovascular diseases,3,Rate,2000,135.49591503369916,148.89216893790189,121.50126909549314
48,1,Deaths,141,Egypt,3,Both,22,All ages,526,Digestive diseases,3,Rate,2001,73.76636381128365,81.23503496011473,62.6693268152054
49,1,Deaths,151,Qatar,3,Both,22,All ages,410,Neoplasms,3,Rate,2003,40.09716169256826,46.8947911967274,34.084323975271346
50,1,Deaths,141,Egypt,3,Both,22,All ages,491,Cardiovascular diseases,3,Rate,2001,269.30604832256927,279.280531979834,258.6264965709382
51,1,Deaths,147,Libya,3,Both,22,All ages,956,Respiratory infections and tuberculosis,3,Rate,2000,13.92460499330622,17.129125019306613,11.95955924561732
52,1,Deaths,152,Saudi Arabia,3,Both,22,All ages,491,Cardiovascular diseases,3,Rate,2003,152.53414851353176,164.12298930756108,141.9554293985524
53,1,Deaths,153,Syria,3,Both,22,All ages,526,Digestive diseases,3,Rate,2003,10.60517294714727,12.095095940346404,9.273718638509438
54,1,Deaths,151,Qatar,3,Both,22,All ages,526,Digestive diseases,3,Rate,2000,14.12281584049514,17.030468935559806,11.58723737476234
55,1,Deaths,141,Egypt,3,Both,22,All ages,974,Diabetes and kidney diseases,3,Rate,2001,36.17831576140205,41.51937390931917,32.24718750129584
56,1,Deaths,140,Bahrain,3,Both,22,All ages,974,Diabetes and kidney diseases,3,Rate,2000,48.03283083123088,51.71679037918439,44.423358661735584
57,1,Deaths,147,Libya,3,Both,22,All ages,974,Diabetes and kidney diseases,3,Rate,2000,22.099459261981607,25.629160339231397,18.68386003593453
58,1,Deaths,140,Bahrain,3,Both,22,All ages,974,Diabetes and kidney diseases,3,Rate,2001,47.413223169613175,51.02654246321519,43.58570668529431
59,1,Deaths,142,Iran,3,Both,22,All ages,410,Neoplasms,3,Rate,2001,43.64601940804141,45.601784503055775,39.906555479019104
60,1,Deaths,156,United Arab Emirates,3,Both,22,All ages,974,Diabetes and kidney diseases,3,Rate,2001,13.020344923134314,15.43556390867726,10.724730855501209
61,1,Deaths,156,United Arab Emirates,3,Both,22,All ages,956,Respiratory infections and tuberculosis,3,Rate,2001,8.799381584121328,10.84836454763544,7.408638458675671
